General Ledger,,,,,,,,,
Sandbox Company_US_2,,,,,,,,,
"January 1, 2023-December 31, 2025",,,,,,,,,

,Distribution account,Transaction date,Transaction type,Num,Name,Memo/Description,Item split account full name,Amount,Balance
,Accounts Receivable (A/R),10/02/2025,Payment,,Bergstrom LLC,,Undeposited Funds,-274.02,"-168,898.98"
,Accounts Receivable (A/R),10/02/2025,Payment,,"Langworth, Nolan and Harris",,Undeposited Funds,-465.00,"-169,363.98"
,Accounts Receivable (A/R),10/03/2025,Invoice,2537,Leuschke-Ernser,,,375.00,"-168,988.98"
,Accounts Receivable (A/R),10/03/2025,Payment,,Runte-Breitenberg,,Undeposited Funds,-20.00,"-169,008.98"
,Accounts Receivable (A/R),10/04/2025,Invoice,2538,Baumbach-Botsford,,,350.00,"-168,658.98"
,Accounts Receivable (A/R),10/06/2025,Invoice,2541,"Thiel, Keeling and O'Keefe",,,420.00,"-168,238.98"
,Accounts Receivable (A/R),10/07/2025,Payment,1053,Bill's Windsurf Shop,,Checking,-175.00,"-168,413.98"
,Accounts Receivable (A/R),10/07/2025,Payment,,Freeman Sporting Goods:0969 Ocean View Road,,Undeposited Funds,-226.75,"-168,640.73"
,Accounts Receivable (A/R),10/07/2025,Invoice,2534,Thompson-Aufderhar,,,700.00,"-167,940.73"
,Accounts Receivable (A/R),10/07/2025,Payment,,"Willms, Ratke and Little",,Undeposited Funds,-540.51,"-168,481.24"
,Accounts Receivable (A/R),10/09/2025,Payment,,"Wehner, O'Conner and Bashirian",,Undeposited Funds,-320.00,"-168,801.24"
,Accounts Receivable (A/R),10/09/2025,Credit Memo,2570,Morar-Ernser,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,"-168,801.24"
,Accounts Receivable (A/R),10/10/2025,Invoice,2546,Sauer Group,,,0.00,"-168,801.24"
,Accounts Receivable (A/R),10/10/2025,Invoice,2548,"Langworth, Nolan and Harris",,,0.00,"-168,801.24"
,Accounts Receivable (A/R),10/10/2025,Payment,,Huel-Botsford,,Undeposited Funds,-994.30,"-169,795.54"
,Accounts Receivable (A/R),10/10/2025,Payment,,Glover-Pfannerstill,,Undeposited Funds,-105.00,"-169,900.54"
,Accounts Receivable (A/R),10/11/2025,Payment,,Johnston-Berge,,Undeposited Funds,-315.00,"-170,215.54"
,Accounts Receivable (A/R),10/12/2025,Invoice,2530,Nienow-Mitchell,,,70.00,"-170,145.54"
,Accounts Receivable (A/R),10/12/2025,Invoice,2551,Mayert-Lehner,,Pest Control Services,315.00,"-169,830.54"
,Accounts Receivable (A/R),10/12/2025,Payment,,Bahringer Inc,,Undeposited Funds,-80.00,"-169,910.54"
,Accounts Receivable (A/R),10/12/2025,Payment,,Sauer Group,,Undeposited Funds,-300.00,"-170,210.54"
,Accounts Receivable (A/R),10/12/2025,Credit Memo,2569,Johnston-Berge,,Design income,-75.00,"-170,285.54"
,Accounts Receivable (A/R),10/15/2025,Invoice,2533,Lind-Willms,,,150.00,"-170,135.54"
,Accounts Receivable (A/R),10/15/2025,Payment,,"Langworth, Nolan and Harris",,Undeposited Funds,-150.00,"-170,285.54"
,Accounts Receivable (A/R),10/16/2025,Invoice,2531,"Willms, Ratke and Little",,,0.00,"-170,285.54"
,Accounts Receivable (A/R),10/16/2025,Invoice,2540,Ortiz-Rogahn,,,0.00,"-170,285.54"
,Accounts Receivable (A/R),10/17/2025,Invoice,1031,Freeman Sporting Goods:0969 Ocean View Road,,,387.00,"-169,898.54"
,Accounts Receivable (A/R),10/17/2025,Invoice,2532,"Willms, Ratke and Little",,,0.00,"-169,898.54"
,Accounts Receivable (A/R),10/18/2025,Invoice,2529,"Auer, Keeling and Steuber",,,245.00,"-169,653.54"
,Accounts Receivable (A/R),10/19/2025,Invoice,2539,Fadel-Oberbrunner,,,0.00,"-169,653.54"
,Accounts Receivable (A/R),10/21/2025,Invoice,2542,Kub and Sons,,,0.00,"-169,653.54"
,Accounts Receivable (A/R),10/21/2025,Invoice,2550,Becker-Adams,,,250.00,"-169,403.54"
,Accounts Receivable (A/R),10/22/2025,Invoice,2553,"Stokes, Murray and Wolff",,,0.00,"-169,403.54"
,Accounts Receivable (A/R),10/22/2025,Payment,,Runte-Breitenberg,,Undeposited Funds,-139.32,"-169,542.86"
,Accounts Receivable (A/R),10/24/2025,Invoice,1024,Red Rock Diner,,,156.00,"-169,386.86"
,Accounts Receivable (A/R),10/25/2025,Invoice,2536,Leuschke-Ernser,,Landscaping Services:Labor:Maintenance and Repair,0.00,"-169,386.86"
,Accounts Receivable (A/R),10/25/2025,Payment,,Mayert-Lehner,,Undeposited Funds,-160.00,"-169,546.86"
,Accounts Receivable (A/R),10/25/2025,Credit Memo,2568,Bahringer Inc,,Other Income,0.00,"-169,546.86"
,Accounts Receivable (A/R),10/26/2025,Invoice,2543,Huel-Botsford,,Landscaping Services,0.00,"-169,546.86"
,Accounts Receivable (A/R),10/26/2025,Invoice,2547,Krajcik Inc,,,140.00,"-169,406.86"
,Accounts Receivable (A/R),10/26/2025,Payment,,Huel-Botsford,,Undeposited Funds,-569.08,"-169,975.94"
,Accounts Receivable (A/R),10/26/2025,Payment,,"Wehner, O'Conner and Bashirian",,Undeposited Funds,-280.00,"-170,255.94"
,Accounts Receivable (A/R),10/27/2025,Invoice,2535,"Lindgren, Wiegand and White",,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,"-170,255.94"
,Accounts Receivable (A/R),10/28/2025,Invoice,2549,Fadel LLC,,,245.00,"-170,010.94"
,Accounts Receivable (A/R),10/28/2025,Payment,,"Thiel, Keeling and O'Keefe",,Undeposited Funds,-383.84,"-170,394.78"
,Accounts Receivable (A/R),10/30/2025,Invoice,2544,"Langworth, Nolan and Harris",,,0.00,"-170,394.78"
,Accounts Receivable (A/R),10/30/2025,Payment,,Schoen-O'Reilly,,Undeposited Funds,-315.00,"-170,709.78"
,Accounts Receivable (A/R),10/30/2025,Payment,,Sauer Group,,Undeposited Funds,-150.00,"-170,859.78"
,Accounts Receivable (A/R),10/31/2025,Payment,,"Lynch, Ziemann and Wehner",,Undeposited Funds,-140.00,"-170,999.78"
,Accounts Receivable (A/R),11/01/2025,Payment,,"Willms, Ratke and Little",,Undeposited Funds,-100.00,"-171,099.78"
,Accounts Receivable (A/R),11/01/2025,Payment,,"Crooks, Pollich and Mertz",,Undeposited Funds,-300.00,"-171,399.78"
,Accounts Receivable (A/R),11/02/2025,Payment,,"Willms, Ratke and Little",,Undeposited Funds,-927.07,"-172,326.85"
,Accounts Receivable (A/R),11/05/2025,Invoice,2578,Thompson-Aufderhar,,,70.00,"-172,256.85"
,Accounts Receivable (A/R),11/06/2025,Payment,,Watsica-Gottlieb,,Undeposited Funds,-590.00,"-172,846.85"
,Accounts Receivable (A/R),11/07/2025,Invoice,2594,Ebert-Krajcik,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,"-172,846.85"
,Accounts Receivable (A/R),11/08/2025,Payment,,"Wehner, O'Conner and Bashirian",,Undeposited Funds,-795.85,"-173,642.70"
,Accounts Receivable (A/R),11/08/2025,Payment,,Greenholt-Cassin,,Undeposited Funds,-150.00,"-173,792.70"
,Accounts Receivable (A/R),11/09/2025,Invoice,2585,Baumbach-Botsford,,Services,0.00,"-173,792.70"
,Accounts Receivable (A/R),11/09/2025,Payment,,Hammes LLC,,Undeposited Funds,-750.00,"-174,542.70"
,Accounts Receivable (A/R),11/09/2025,Payment,,Ortiz-Rogahn,,Undeposited Funds,-375.00,"-174,917.70"
,Accounts Receivable (A/R),11/09/2025,Payment,,Skiles Inc,,Undeposited Funds,-350.00,"-175,267.70"
,Accounts Receivable (A/R),11/10/2025,Invoice,2595,Hand LLC,,,60.00,"-175,207.70"
,Accounts Receivable (A/R),11/11/2025,Invoice,2572,Mayert-Lehner,,,60.00,"-175,147.70"
,Accounts Receivable (A/R),11/11/2025,Invoice,2581,Bergstrom LLC,,Services,0.00,"-175,147.70"
,Accounts Receivable (A/R),11/11/2025,Payment,,Morar-Ernser,,Undeposited Funds,-470.00,"-175,617.70"
,Accounts Receivable (A/R),11/12/2025,Invoice,2586,Hand LLC,,,250.00,"-175,367.70"
,Accounts Receivable (A/R),11/12/2025,Invoice,2592,Schoen-O'Reilly,,,0.00,"-175,367.70"
,Accounts Receivable (A/R),11/12/2025,Payment,,Becker-Adams,,Undeposited Funds,-350.00,"-175,717.70"
,Accounts Receivable (A/R),11/13/2025,Invoice,1016,Kookies by Kathy,,Landscaping Services,75.00,"-175,642.70"
,Accounts Receivable (A/R),11/13/2025,Invoice,2573,"Predovic, Kohler and Boyer",,,0.00,"-175,642.70"
,Accounts Receivable (A/R),11/13/2025,Invoice,2588,Becker-Adams,,Services,0.00,"-175,642.70"
,Accounts Receivable (A/R),11/13/2025,Payment,,Bergstrom LLC,,Undeposited Funds,-211.48,"-175,854.18"
,Accounts Receivable (A/R),11/14/2025,Invoice,1025,Amy's Bird Sanctuary,,,205.00,"-175,649.18"
,Accounts Receivable (A/R),11/14/2025,Invoice,1027,Bill's Windsurf Shop,,,85.00,"-175,564.18"
,Accounts Receivable (A/R),11/14/2025,Invoice,1028,Freeman Sporting Goods:55 Twin Lane,,,81.00,"-175,483.18"
,Accounts Receivable (A/R),11/14/2025,Invoice,1029,Dukes Basketball Camp,,,460.40,"-175,022.78"
,Accounts Receivable (A/R),11/14/2025,Invoice,2571,Lind-Willms,,,670.00,"-174,352.78"
,Accounts Receivable (A/R),11/14/2025,Invoice,2574,Glover-Pfannerstill,,,0.00,"-174,352.78"
,Accounts Receivable (A/R),11/14/2025,Invoice,2590,Krajcik Inc,,,700.00,"-173,652.78"
,Accounts Receivable (A/R),11/14/2025,Payment,,Bahringer Inc,,Undeposited Funds,-90.00,"-173,742.78"
,Accounts Receivable (A/R),11/15/2025,Invoice,2579,Thompson-Aufderhar,,Design income,150.00,"-173,592.78"
,Accounts Receivable (A/R),11/17/2025,Invoice,2580,"Stokes, Murray and Wolff",,,0.00,"-173,592.78"
,Accounts Receivable (A/R),11/17/2025,Invoice,2591,Nienow-Mitchell,,,105.00,"-173,487.78"
,Accounts Receivable (A/R),11/19/2025,Invoice,2587,"Auer, Keeling and Steuber",,Landscaping Services,140.00,"-173,347.78"
,Accounts Receivable (A/R),11/19/2025,Invoice,2589,Bergstrom LLC,,Services,0.00,"-173,347.78"
,Accounts Receivable (A/R),11/21/2025,Invoice,2575,Leuschke-Ernser,,,0.00,"-173,347.78"
,Accounts Receivable (A/R),11/21/2025,Payment,,"Lindgren, Wiegand and White",,Undeposited Funds,-175.00,"-173,522.78"
,Accounts Receivable (A/R),11/22/2025,Invoice,2582,Grant and Sons,,,385.00,"-173,137.78"
,Accounts Receivable (A/R),11/23/2025,Invoice,1006,Freeman Sporting Goods:55 Twin Lane,,,86.40,"-173,051.38"
,Accounts Receivable (A/R),11/23/2025,Invoice,2593,Hammes LLC,,,0.00,"-173,051.38"
,Accounts Receivable (A/R),11/23/2025,Payment,,Romaguera and Sons,,Undeposited Funds,-400.00,"-173,451.38"
,Accounts Receivable (A/R),11/23/2025,Credit Memo,2611,Huel-Botsford,,Services,0.00,"-173,451.38"
,Accounts Receivable (A/R),11/24/2025,Payment,,Bergstrom LLC,,Undeposited Funds,-175.00,"-173,626.38"
,Accounts Receivable (A/R),11/25/2025,Invoice,2576,Skiles Inc,,Services,0.00,"-173,626.38"
,Accounts Receivable (A/R),11/25/2025,Invoice,2577,Greenholt-Cassin,,,150.00,"-173,476.38"
,Accounts Receivable (A/R),11/25/2025,Payment,,"Lehner, Hane and Borer",,Undeposited Funds,-450.00,"-173,926.38"
,Accounts Receivable (A/R),11/26/2025,Payment,,"Stokes, Murray and Wolff",,Undeposited Funds,-890.00,"-174,816.38"
,Accounts Receivable (A/R),11/27/2025,Invoice,2583,Prohaska LLC,,,375.00,"-174,441.38"
,Accounts Receivable (A/R),11/27/2025,Payment,,Prohaska LLC,,Undeposited Funds,-250.00,"-174,691.38"
,Accounts Receivable (A/R),11/28/2025,Invoice,2584,Baumbach-Botsford,,Design income,375.00,"-174,316.38"
,Accounts Receivable (A/R),11/28/2025,Payment,,Glover-Pfannerstill,,Undeposited Funds,-820.89,"-175,137.27"
,Accounts Receivable (A/R),11/30/2025,Payment,,Johnston-Berge,,Undeposited Funds,-594.79,"-175,732.06"
,Accounts Receivable (A/R),11/30/2025,Credit Memo,2610,Hammes LLC,,Services,0.00,"-175,732.06"
,Accounts Receivable (A/R),11/30/2025,Credit Memo,2612,Ebert-Krajcik,,Landscaping Services:Labor:Maintenance and Repair,0.00,"-175,732.06"
,Accounts Receivable (A/R),12/01/2025,Payment,,Runte-Breitenberg,,Undeposited Funds,-375.00,"-176,107.06"
,Accounts Receivable (A/R),12/01/2025,Payment,,"Thiel, Keeling and O'Keefe",,Undeposited Funds,-975.92,"-177,082.98"
,Accounts Receivable (A/R),12/02/2025,Payment,,Krajcik Inc,,Undeposited Funds,-10.00,"-177,092.98"
,Accounts Receivable (A/R),12/03/2025,Payment,,Romaguera and Sons,,Undeposited Funds,-600.00,"-177,692.98"
,Accounts Receivable (A/R),12/04/2025,Invoice,2616,"Kiehn, Franecki and Nicolas",,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,"-177,692.98"
,Accounts Receivable (A/R),12/04/2025,Invoice,2636,Watsica-Gottlieb,,,0.00,"-177,692.98"
,Accounts Receivable (A/R),12/05/2025,Payment,,Dukes Basketball Camp,,Undeposited Funds,-460.40,"-178,153.38"
,Accounts Receivable (A/R),12/05/2025,Payment,,"Lynch, Ziemann and Wehner",,Undeposited Funds,-105.00,"-178,258.38"
,Accounts Receivable (A/R),12/06/2025,Invoice,2625,Baumbach-Botsford,,,100.00,"-178,158.38"
,Accounts Receivable (A/R),12/07/2025,Payment,5664,Freeman Sporting Goods:55 Twin Lane,,Checking,-86.40,"-178,244.78"
,Accounts Receivable (A/R),12/07/2025,Invoice,1007,John Melton,,Design income,750.00,"-177,494.78"
,Accounts Receivable (A/R),12/08/2025,Invoice,2620,Huels Group,,,50.00,"-177,444.78"
,Accounts Receivable (A/R),12/08/2025,Payment,,Romaguera and Sons,,Undeposited Funds,-300.00,"-177,744.78"
,Accounts Receivable (A/R),12/09/2025,Payment,,Amy's Bird Sanctuary,,Checking,-105.00,"-177,849.78"
,Accounts Receivable (A/R),12/09/2025,Invoice,2633,Huel-Botsford,,,350.00,"-177,499.78"
,Accounts Receivable (A/R),12/09/2025,Invoice,2635,Schoen-O'Reilly,,Other Income,0.00,"-177,499.78"
,Accounts Receivable (A/R),12/09/2025,Credit Memo,2653,"Lehner, Hane and Borer",,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,"-177,499.78"
,Accounts Receivable (A/R),12/10/2025,Invoice,1021,Amy's Bird Sanctuary,,,459.00,"-177,040.78"
,Accounts Receivable (A/R),12/10/2025,Invoice,1022,Jeff's Jalopies,,,81.00,"-176,959.78"
,Accounts Receivable (A/R),12/10/2025,Payment,,"Auer, Keeling and Steuber",,Undeposited Funds,-245.00,"-177,204.78"
,Accounts Receivable (A/R),12/11/2025,Invoice,2634,Ebert-Krajcik,,,405.00,"-176,799.78"
,Accounts Receivable (A/R),12/11/2025,Payment,,Prohaska LLC,,Undeposited Funds,-446.76,"-177,246.54"
,Accounts Receivable (A/R),12/12/2025,Credit Memo,2654,"Lindgren, Wiegand and White",,Landscaping Services,0.00,"-177,246.54"
,Accounts Receivable (A/R),12/13/2025,Invoice,2629,"Romaguera, Heller and Mertz",,,585.00,"-176,661.54"
,Accounts Receivable (A/R),12/14/2025,Invoice,2619,"Mohr, Haag and Labadie",,,225.00,"-176,436.54"
,Accounts Receivable (A/R),12/15/2025,Credit Memo,1026,Amy's Bird Sanctuary,,Pest Control Services,-100.00,"-176,536.54"
,Accounts Receivable (A/R),12/15/2025,Payment,,Amy's Bird Sanctuary,,,0.00,"-176,536.54"
,Accounts Receivable (A/R),12/15/2025,Payment,,Schoen-O'Reilly,,Undeposited Funds,-590.00,"-177,126.54"
,Accounts Receivable (A/R),12/16/2025,Invoice,1017,Sushi by Katsuyuki,,Landscaping Services,80.00,"-177,046.54"
,Accounts Receivable (A/R),12/16/2025,Payment,,Mayert-Lehner,,Undeposited Funds,-600.00,"-177,646.54"
,Accounts Receivable (A/R),12/16/2025,Payment,,Mayert-Lehner,,Undeposited Funds,-60.00,"-177,706.54"
,Accounts Receivable (A/R),12/16/2025,Payment,,"Stokes, Murray and Wolff",,Undeposited Funds,-280.00,"-177,986.54"
,Accounts Receivable (A/R),12/17/2025,Credit Memo,2652,"Stokes, Murray and Wolff",,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,"-177,986.54"
,Accounts Receivable (A/R),12/18/2025,Invoice,1012,Shara Barnett:Barnett Design,,,274.50,"-177,712.04"
,Accounts Receivable (A/R),12/18/2025,Invoice,2631,Fadel-Oberbrunner,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,"-177,712.04"
,Accounts Receivable (A/R),12/19/2025,Payment,,Huel-Botsford,,Undeposited Funds,-320.00,"-178,032.04"
,Accounts Receivable (A/R),12/20/2025,Invoice,1004,Cool Cars,,,"2,369.52","-175,662.52"
,Accounts Receivable (A/R),12/20/2025,Invoice,1013,Travis Waldron,,,81.00,"-175,581.52"
,Accounts Receivable (A/R),12/20/2025,Invoice,2618,Leuschke-Ernser,,Pest Control Services,175.00,"-175,406.52"
,Accounts Receivable (A/R),12/20/2025,Invoice,2632,"Willms, Ratke and Little",,,70.00,"-175,336.52"
,Accounts Receivable (A/R),12/21/2025,Invoice,2617,Rice-Block,,,0.00,"-175,336.52"
,Accounts Receivable (A/R),12/22/2025,Invoice,2624,Becker-Adams,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,"-175,336.52"
,Accounts Receivable (A/R),12/23/2025,Invoice,1005,Freeman Sporting Goods:55 Twin Lane,,,54.00,"-175,282.52"
,Accounts Receivable (A/R),12/23/2025,Invoice,1018,Sushi by Katsuyuki,,Landscaping Services,80.00,"-175,202.52"
,Accounts Receivable (A/R),12/23/2025,Invoice,2614,"Lindgren, Wiegand and White",,,350.00,"-174,852.52"
,Accounts Receivable (A/R),12/23/2025,Invoice,2615,Ebert-Krajcik,,Other Income,0.00,"-174,852.52"
,Accounts Receivable (A/R),12/23/2025,Payment,,Rice-Block,,Undeposited Funds,-257.54,"-175,110.06"
,Accounts Receivable (A/R),12/24/2025,Payment,,Nienow-Mitchell,,Undeposited Funds,-712.88,"-175,822.94"
,Accounts Receivable (A/R),12/25/2025,Payment,1886,Cool Cars,,Checking,-694.00,"-176,516.94"
,Accounts Receivable (A/R),12/25/2025,Invoice,2637,Runte-Breitenberg,,Landscaping Services,140.00,"-176,376.94"
,Accounts Receivable (A/R),12/26/2025,Invoice,2613,Lind-Willms,,Services,0.00,"-176,376.94"
,Accounts Receivable (A/R),12/26/2025,Payment,,Mohr-Koch,,Undeposited Funds,-194.81,"-176,571.75"
,Accounts Receivable (A/R),12/27/2025,Invoice,2622,"Kiehn, Franecki and Nicolas",,,800.00,"-175,771.75"
,Accounts Receivable (A/R),12/27/2025,Invoice,2623,Greenholt-Cassin,,,10.00,"-175,761.75"
,Accounts Receivable (A/R),12/27/2025,Invoice,2630,Runte-Breitenberg,,,0.00,"-175,761.75"
,Accounts Receivable (A/R),12/27/2025,Payment,,"Lindgren, Wiegand and White",,Undeposited Funds,-100.00,"-175,861.75"
,Accounts Receivable (A/R),12/27/2025,Payment,,Becker-Adams,,Undeposited Funds,-625.00,"-176,486.75"
,Accounts Receivable (A/R),12/28/2025,Payment,,Sushi by Katsuyuki,,Undeposited Funds,-80.00,"-176,566.75"
,Accounts Receivable (A/R),12/28/2025,Invoice,2626,"Auer, Keeling and Steuber",,Landscaping Services:Job Materials:Plants and Soil,30.00,"-176,536.75"
,Accounts Receivable (A/R),12/29/2025,Invoice,1001,Amy's Bird Sanctuary,"Front yard, hedges, and sidewalks",,108.00,"-176,428.75"
,Accounts Receivable (A/R),12/29/2025,Invoice,1009,Travis Waldron,,Services,103.55,"-176,325.20"
,Accounts Receivable (A/R),12/29/2025,Invoice,1032,Travis Waldron,,,414.72,"-175,910.48"
,Accounts Receivable (A/R),12/29/2025,Invoice,2621,Schoen-O'Reilly,,Landscaping Services,245.00,"-175,665.48"
,Accounts Receivable (A/R),12/29/2025,Invoice,2627,Schoen-O'Reilly,,Landscaping Services:Job Materials:Plants and Soil,0.00,"-175,665.48"
,Accounts Receivable (A/R),12/29/2025,Payment,,"Auer, Keeling and Steuber",,Undeposited Funds,-10.00,"-175,675.48"
,Accounts Receivable (A/R),12/29/2025,Payment,,Mohr-Koch,,Undeposited Funds,-245.00,"-175,920.48"
,Accounts Receivable (A/R),12/30/2025,Payment,6552,Amy's Bird Sanctuary,,Undeposited Funds,-108.00,"-176,028.48"
,Accounts Receivable (A/R),12/30/2025,Payment,5421,John Melton,,Undeposited Funds,-300.00,"-176,328.48"
,Accounts Receivable (A/R),12/30/2025,Payment,,Freeman Sporting Goods:55 Twin Lane,,Checking,-50.00,"-176,378.48"
,Accounts Receivable (A/R),12/30/2025,Invoice,1010,Weiskopf Consulting,,Design income,375.00,"-176,003.48"
,Accounts Receivable (A/R),12/30/2025,Payment,2064,Travis Waldron,,Checking,-103.55,"-176,107.03"
,Accounts Receivable (A/R),12/30/2025,Invoice,1015,Paulsen Medical Supplies,,,954.75,"-175,152.28"
,Accounts Receivable (A/R),12/30/2025,Invoice,1019,Sushi by Katsuyuki,,Landscaping Services,80.00,"-175,072.28"
,Accounts Receivable (A/R),12/30/2025,Invoice,1023,Red Rock Diner,,Pest Control Services,70.00,"-175,002.28"
,Accounts Receivable (A/R),12/30/2025,Invoice,2628,"Langworth, Nolan and Harris",,,0.00,"-175,002.28"
,Accounts Receivable (A/R),12/31/2025,Payment,,Travis Waldron,,Undeposited Funds,-81.00,"-175,083.28"
,Accounts Receivable (A/R),12/31/2025,Payment,,Amy's Bird Sanctuary,,Undeposited Funds,-220.00,"-175,303.28"
,Accounts Receivable (A/R),12/31/2025,Invoice,1033,Geeta Kalapatapu,,,629.10,"-174,674.18"
,Accounts Receivable (A/R),12/31/2025,Invoice,1034,Rondonuwu Fruit and Vegi,,,78.60,"-174,595.58"
,Accounts Receivable (A/R),12/31/2025,Payment,,Romaguera and Sons,,Undeposited Funds,-300.00,"-174,895.58"
Total for Accounts Receivable (A/R),,,,,,,,"-$137,888.32",
Undeposited Funds,,,,,,,,,
,Beginning Balance,,,,,,,,"70,382.26"
,Undeposited Funds,01/01/2023,Sales Receipt,1423,Welch Inc,,Pest Control Services,35.00,"70,417.26"
,Undeposited Funds,01/01/2023,Sales Receipt,1428,Baumbach-Botsford,,Services,0.00,"70,417.26"
,Undeposited Funds,01/02/2023,Payment,,Romaguera and Sons,,Accounts Receivable (A/R),880.54,"71,297.80"
,Undeposited Funds,01/03/2023,Payment,,Bahringer Inc,,Accounts Receivable (A/R),450.00,"71,747.80"
,Undeposited Funds,01/04/2023,Payment,,Mohr-Koch,,Accounts Receivable (A/R),960.00,"72,707.80"
,Undeposited Funds,01/05/2023,Payment,,Kub and Sons,,Accounts Receivable (A/R),210.00,"72,917.80"
,Undeposited Funds,01/07/2023,Sales Receipt,1427,Kub and Sons,,Other Income,0.00,"72,917.80"
,Undeposited Funds,01/07/2023,Payment,,Ortiz-Rogahn,,Accounts Receivable (A/R),75.00,"72,992.80"
,Undeposited Funds,01/10/2023,Sales Receipt,1425,"Langworth, Nolan and Harris",,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,"72,992.80"
,Undeposited Funds,01/11/2023,Payment,,"Stokes, Murray and Wolff",,Accounts Receivable (A/R),111.02,"73,103.82"
,Undeposited Funds,01/13/2023,Sales Receipt,1429,Skiles Inc,,Services,0.00,"73,103.82"
,Undeposited Funds,01/14/2023,Sales Receipt,1426,Huel-Botsford,,Landscaping Services:Job Materials:Plants and Soil,0.00,"73,103.82"
,Undeposited Funds,01/16/2023,Sales Receipt,1424,Hammes LLC,,Landscaping Services:Labor:Maintenance and Repair,0.00,"73,103.82"
,Undeposited Funds,01/18/2023,Payment,,"Mohr, Haag and Labadie",,Accounts Receivable (A/R),100.00,"73,203.82"
,Undeposited Funds,01/20/2023,Sales Receipt,1430,Hand LLC,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,"73,203.82"
,Undeposited Funds,01/22/2023,Payment,,Becker-Adams,,Accounts Receivable (A/R),640.15,"73,843.97"
,Undeposited Funds,01/26/2023,Payment,,"Stokes, Murray and Wolff",,Accounts Receivable (A/R),315.00,"74,158.97"
,Undeposited Funds,01/27/2023,Payment,,Mayert-Lehner,,Accounts Receivable (A/R),403.05,"74,562.02"
,Undeposited Funds,01/27/2023,Payment,,Glover-Pfannerstill,,Accounts Receivable (A/R),768.51,"75,330.53"
,Undeposited Funds,01/28/2023,Payment,,"Lehner, Hane and Borer",,Accounts Receivable (A/R),562.85,"75,893.38"
,Undeposited Funds,01/29/2023,Sales Receipt,1431,"Kiehn, Franecki and Nicolas",,Services,0.00,"75,893.38"
,Undeposited Funds,01/29/2023,Payment,,Bergstrom LLC,,Accounts Receivable (A/R),280.00,"76,173.38"
,Undeposited Funds,01/30/2023,Payment,,Morar-Ernser,,Accounts Receivable (A/R),315.00,"76,488.38"
,Undeposited Funds,02/01/2023,Sales Receipt,1455,"Lindgren, Wiegand and White",,Other Income,0.00,"76,488.38"
,Undeposited Funds,02/02/2023,Payment,,"Auer, Keeling and Steuber",,Accounts Receivable (A/R),105.00,"76,593.38"
,Undeposited Funds,02/03/2023,Payment,,"Lynch, Ziemann and Wehner",,Accounts Receivable (A/R),450.00,"77,043.38"
,Undeposited Funds,02/09/2023,Sales Receipt,1457,Greenholt-Cassin,,Landscaping Services:Labor:Installation,50.00,"77,093.38"
,Undeposited Funds,02/09/2023,Payment,,"Predovic, Kohler and Boyer",,Accounts Receivable (A/R),365.63,"77,459.01"
,Undeposited Funds,02/10/2023,Sales Receipt,1453,"Stokes, Murray and Wolff",,Pest Control Services,35.00,"77,494.01"
,Undeposited Funds,02/10/2023,Sales Receipt,1458,Bahringer Inc,,Landscaping Services:Labor:Installation,50.00,"77,544.01"
,Undeposited Funds,02/11/2023,Sales Receipt,1454,Glover-Pfannerstill,,Design income,75.00,"77,619.01"
,Undeposited Funds,02/11/2023,Payment,,"Willms, Ratke and Little",,Accounts Receivable (A/R),450.00,"78,069.01"
,Undeposited Funds,02/12/2023,Payment,,Watsica-Gottlieb,,Accounts Receivable (A/R),256.73,"78,325.74"
,Undeposited Funds,02/13/2023,Payment,,"Stokes, Murray and Wolff",,Accounts Receivable (A/R),589.28,"78,915.02"
,Undeposited Funds,02/15/2023,Payment,,Ebert-Krajcik,,Accounts Receivable (A/R),60.00,"78,975.02"
,Undeposited Funds,02/16/2023,Sales Receipt,1452,Ortiz-Rogahn,,Landscaping Services:Labor:Installation,50.00,"79,025.02"
,Undeposited Funds,02/17/2023,Payment,,Prohaska LLC,,Accounts Receivable (A/R),220.00,"79,245.02"
,Undeposited Funds,02/18/2023,Payment,,"Stokes, Murray and Wolff",,Accounts Receivable (A/R),250.00,"79,495.02"
,Undeposited Funds,02/18/2023,Payment,,"Lindgren, Wiegand and White",,Accounts Receivable (A/R),175.00,"79,670.02"
,Undeposited Funds,02/22/2023,Sales Receipt,1450,Bergstrom LLC,,Other Income,0.00,"79,670.02"
,Undeposited Funds,02/22/2023,Sales Receipt,1456,"Willms, Ratke and Little",,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,"79,670.02"
,Undeposited Funds,02/22/2023,Payment,,Shanahan LLC,,Accounts Receivable (A/R),70.00,"79,740.02"
