Journal,,,,,,,,
Sandbox Company_US_2,,,,,,,,
"January 1, 2023-December 31, 2025",,,,,,,,

,Transaction date,Transaction type,Num,Name,Memo/Description,Full name,Debit,Credit
2556,,,,,,,,
,12/05/2023,Expense,,,,Savings,,221.42
,12/05/2023,Expense,,,,Advertising,221.42,
Total for 2556,,,,,,,$221.42,$221.42
2584,,,,,,,,
,12/05/2023,Payment,,Schoen-O'Reilly,,Undeposited Funds,600.00,
,12/05/2023,Payment,,Schoen-O'Reilly,,Accounts Receivable (A/R),,600.00
Total for 2584,,,,,,,$600.00,$600.00
2587,,,,,,,,
,12/05/2023,Bill Payment (Check),,Marquardt-Erdman,,Checking,,875.74
,12/05/2023,Bill Payment (Check),,Marquardt-Erdman,,Accounts Payable (A/P),875.74,
Total for 2587,,,,,,,$875.74,$875.74
2589,,,,,,,,
,12/05/2023,Bill Payment (Check),,Hahn Group,,Checking,,"2,242.71"
,12/05/2023,Bill Payment (Check),,Hahn Group,,Accounts Payable (A/P),"2,242.71",
Total for 2589,,,,,,,"$2,242.71","$2,242.71"
2540,,,,,,,,
,12/06/2023,Bill,,Bailey-Ruecker,,Accounts Payable (A/P),,308.67
,12/06/2023,Bill,,Bailey-Ruecker,,Commissions & fees,308.67,
Total for 2540,,,,,,,$308.67,$308.67
2551,,,,,,,,
,12/06/2023,Bill,,Trantow-Buckridge,,Accounts Payable (A/P),,"1,133.11"
,12/06/2023,Bill,,Trantow-Buckridge,,Office Expenses,"1,133.11",
Total for 2551,,,,,,,"$1,133.11","$1,133.11"
2569,,,,,,,,
,12/06/2023,Payment,,Ortiz-Rogahn,,Undeposited Funds,265.00,
,12/06/2023,Payment,,Ortiz-Rogahn,,Accounts Receivable (A/R),,265.00
Total for 2569,,,,,,,$265.00,$265.00
2575,,,,,,,,
,12/06/2023,Payment,,Johnston-Berge,,Undeposited Funds,475.69,
,12/06/2023,Payment,,Johnston-Berge,,Accounts Receivable (A/R),,475.69
Total for 2575,,,,,,,$475.69,$475.69
2614,,,,,,,,
,12/07/2023,Journal Entry,,,,Legal & Professional Fees:Accounting,652.45,
,12/07/2023,Journal Entry,,,,Checking,,652.45
Total for 2614,,,,,,,$652.45,$652.45
2498,,,,,,,,
,12/08/2023,Invoice,1755,"Lynch, Ziemann and Wehner",,Accounts Receivable (A/R),0.00,
,12/08/2023,Invoice,1755,"Lynch, Ziemann and Wehner",,Landscaping Services:Labor:Maintenance and Repair,0.00,
,12/08/2023,Invoice,1755,"Lynch, Ziemann and Wehner",,Landscaping Services,0.00,
Total for 2498,,,,,,,$0.00,
2520,,,,,,,,
,12/08/2023,Sales Receipt,1777,Baumbach-Botsford,,Undeposited Funds,0.00,
,12/08/2023,Sales Receipt,1777,Baumbach-Botsford,,Landscaping Services,0.00,
Total for 2520,,,,,,,$0.00,
2531,,,,,,,,
,12/08/2023,Sales Receipt,1788,Thompson-Aufderhar,,Undeposited Funds,0.00,
,12/08/2023,Sales Receipt,1788,Thompson-Aufderhar,,Landscaping Services:Job Materials:Plants and Soil,0.00,
Total for 2531,,,,,,,$0.00,
2591,,,,,,,,
,12/08/2023,Bill Payment (Check),,"Ledner, Kautzer and Turner",,Checking,,"2,127.82"
,12/08/2023,Bill Payment (Check),,"Ledner, Kautzer and Turner",,Accounts Payable (A/P),"2,127.82",
Total for 2591,,,,,,,"$2,127.82","$2,127.82"
2511,,,,,,,,
,12/09/2023,Invoice,1768,Fadel LLC,,Accounts Receivable (A/R),870.00,
,12/09/2023,Invoice,1768,Fadel LLC,,Landscaping Services:Labor:Installation,,350.00
,12/09/2023,Invoice,1768,Fadel LLC,,Landscaping Services:Job Materials:Plants and Soil,,70.00
,12/09/2023,Invoice,1768,Fadel LLC,,Design income,,450.00
Total for 2511,,,,,,,$870.00,$870.00
2546,,,,,,,,
,12/09/2023,Bill,,Hahn Group,,Accounts Payable (A/P),,129.05
,12/09/2023,Bill,,Hahn Group,,Job Expenses,129.05,
Total for 2546,,,,,,,$129.05,$129.05
2609,,,,,,,,
,12/09/2023,Transfer,,,,Checking,,"2,163.52"
,12/09/2023,Transfer,,,,Savings,"2,163.52",
Total for 2609,,,,,,,"$2,163.52","$2,163.52"
2519,,,,,,,,
,12/10/2023,Invoice,1776,Hand LLC,,Accounts Receivable (A/R),600.00,
,12/10/2023,Invoice,1776,Hand LLC,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
,12/10/2023,Invoice,1776,Hand LLC,,Design income,,600.00
,12/10/2023,Invoice,1776,Hand LLC,,Services,0.00,
Total for 2519,,,,,,,$600.00,$600.00
2552,,,,,,,,
,12/10/2023,Bill,,Ullrich-Dach,,Accounts Payable (A/P),,"1,331.13"
,12/10/2023,Bill,,Ullrich-Dach,,Miscellaneous,"1,331.13",
Total for 2552,,,,,,,"$1,331.13","$1,331.13"
2600,,,,,,,,
,12/10/2023,Credit Memo,1790,Johnston-Berge,,Accounts Receivable (A/R),0.00,
,12/10/2023,Credit Memo,1790,Johnston-Berge,,Services,0.00,
Total for 2600,,,,,,,$0.00,
2603,,,,,,,,
,12/10/2023,Deposit,,,,Checking,"2,150.30",
,12/10/2023,Deposit,,,,Other Income,,"2,150.30"
Total for 2603,,,,,,,"$2,150.30","$2,150.30"
2513,,,,,,,,
,12/11/2023,Invoice,1770,Welch Inc,,Accounts Receivable (A/R),140.00,
,12/11/2023,Invoice,1770,Welch Inc,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
,12/11/2023,Invoice,1770,Welch Inc,,Pest Control Services,,140.00
,12/11/2023,Invoice,1770,Welch Inc,,Other Income,0.00,
Total for 2513,,,,,,,$140.00,$140.00
2523,,,,,,,,
,12/11/2023,Sales Receipt,1780,Baumbach-Botsford,,Undeposited Funds,0.00,
,12/11/2023,Sales Receipt,1780,Baumbach-Botsford,,Services,0.00,
Total for 2523,,,,,,,$0.00,
2602,,,,,,,,
,12/11/2023,Vendor Credit,,Bailey-Ruecker,,Accounts Payable (A/P),437.59,
,12/11/2023,Vendor Credit,,Bailey-Ruecker,,Disposal Fees,,437.59
Total for 2602,,,,,,,$437.59,$437.59
2517,,,,,,,,
,12/12/2023,Invoice,1774,Bahringer Inc,,Accounts Receivable (A/R),350.00,
,12/12/2023,Invoice,1774,Bahringer Inc,,Landscaping Services,,350.00
Total for 2517,,,,,,,$350.00,$350.00
2522,,,,,,,,
,12/13/2023,Sales Receipt,1779,"Mohr, Haag and Labadie",,Undeposited Funds,0.00,
,12/13/2023,Sales Receipt,1779,"Mohr, Haag and Labadie",,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
Total for 2522,,,,,,,$0.00,
2592,,,,,,,,
,12/13/2023,Bill Payment (Check),,Bashirian and Sons,,Savings,,"1,497.96"
,12/13/2023,Bill Payment (Check),,Bashirian and Sons,,Accounts Payable (A/P),"1,497.96",
Total for 2592,,,,,,,"$1,497.96","$1,497.96"
2594,,,,,,,,
,12/13/2023,Bill Payment (Check),,Reynolds Group,,Savings,,644.95
,12/13/2023,Bill Payment (Check),,Reynolds Group,,Accounts Payable (A/P),644.95,
Total for 2594,,,,,,,$644.95,$644.95
2597,,,,,,,,
,12/13/2023,Bill Payment (Check),,"Ledner, Kautzer and Turner",,Checking,,958.65
,12/13/2023,Bill Payment (Check),,"Ledner, Kautzer and Turner",,Accounts Payable (A/P),958.65,
Total for 2597,,,,,,,$958.65,$958.65
2599,,,,,,,,
,12/13/2023,Credit Memo,1789,"Langworth, Nolan and Harris",,Accounts Receivable (A/R),,50.00
,12/13/2023,Credit Memo,1789,"Langworth, Nolan and Harris",,Landscaping Services:Labor:Installation,50.00,
Total for 2599,,,,,,,$50.00,$50.00
2500,,,,,,,,
,12/14/2023,Invoice,1757,Morar-Ernser,,Accounts Receivable (A/R),0.00,
,12/14/2023,Invoice,1757,Morar-Ernser,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
Total for 2500,,,,,,,$0.00,
2512,,,,,,,,
,12/14/2023,Invoice,1769,Welch Inc,,Accounts Receivable (A/R),0.00,
,12/14/2023,Invoice,1769,Welch Inc,,Services,0.00,
Total for 2512,,,,,,,$0.00,
2528,,,,,,,,
,12/14/2023,Sales Receipt,1785,Prohaska LLC,,Undeposited Funds,0.00,
,12/14/2023,Sales Receipt,1785,Prohaska LLC,,Landscaping Services,0.00,
Total for 2528,,,,,,,$0.00,
2541,,,,,,,,
,12/14/2023,Bill,,"D'Amore, Brakus and Koch",,Accounts Payable (A/P),,808.31
,12/14/2023,Bill,,"D'Amore, Brakus and Koch",,Bank Charges,808.31,
Total for 2541,,,,,,,$808.31,$808.31
2585,,,,,,,,
,12/14/2023,Payment,,Huels Group,,Undeposited Funds,155.00,
,12/14/2023,Payment,,Huels Group,,Accounts Receivable (A/R),,155.00
Total for 2585,,,,,,,$155.00,$155.00
2610,,,,,,,,
,12/14/2023,Transfer,,,,Checking,,"3,563.18"
,12/14/2023,Transfer,,,,Savings,"3,563.18",
Total for 2610,,,,,,,"$3,563.18","$3,563.18"
2595,,,,,,,,
,12/15/2023,Bill Payment (Check),,Kessler Inc,,Savings,,"1,374.92"
,12/15/2023,Bill Payment (Check),,Kessler Inc,,Accounts Payable (A/P),"1,374.92",
Total for 2595,,,,,,,"$1,374.92","$1,374.92"
2601,,,,,,,,
,12/15/2023,Vendor Credit,,Ullrich-Dach,,Accounts Payable (A/P),237.37,
,12/15/2023,Vendor Credit,,Ullrich-Dach,,Miscellaneous,,237.37
Total for 2601,,,,,,,$237.37,$237.37
2550,,,,,,,,
,12/16/2023,Bill,,Kessler Inc,,Accounts Payable (A/P),,567.47
,12/16/2023,Bill,,Kessler Inc,,Promotional,567.47,
Total for 2550,,,,,,,$567.47,$567.47
2554,,,,,,,,
,12/16/2023,Expense,,,,Savings,,51.91
,12/16/2023,Expense,,,,Insurance:Workers Compensation,51.91,
Total for 2554,,,,,,,$51.91,$51.91
2606,,,,,,,,
,12/16/2023,Deposit,,,,Checking,"3,970.85",
,12/16/2023,Deposit,,,,Landscaping Services:Job Materials:Sprinklers and Drip Systems,,"3,970.85"
Total for 2606,,,,,,,"$3,970.85","$3,970.85"
2508,,,,,,,,
,12/17/2023,Invoice,1765,"Stokes, Murray and Wolff",,Accounts Receivable (A/R),0.00,
,12/17/2023,Invoice,1765,"Stokes, Murray and Wolff",,Landscaping Services:Job Materials:Plants and Soil,0.00,
,12/17/2023,Invoice,1765,"Stokes, Murray and Wolff",,Other Income,0.00,
,12/17/2023,Invoice,1765,"Stokes, Murray and Wolff",,Other Income,0.00,
Total for 2508,,,,,,,$0.00,
2516,,,,,,,,
,12/17/2023,Invoice,1773,Greenholt-Cassin,,Accounts Receivable (A/R),0.00,
,12/17/2023,Invoice,1773,Greenholt-Cassin,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
,12/17/2023,Invoice,1773,Greenholt-Cassin,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
Total for 2516,,,,,,,$0.00,
2543,,,,,,,,
,12/17/2023,Bill,,"Kozey, Cruickshank and Prohaska",,Accounts Payable (A/P),,"1,407.48"
,12/17/2023,Bill,,"Kozey, Cruickshank and Prohaska",,Rent or Lease,"1,407.48",
Total for 2543,,,,,,,"$1,407.48","$1,407.48"
2544,,,,,,,,
,12/17/2023,Bill,,Schroeder-Carroll,,Accounts Payable (A/P),,413.07
,12/17/2023,Bill,,Schroeder-Carroll,,Job Expenses:Equipment Rental,413.07,
Total for 2544,,,,,,,$413.07,$413.07
2545,,,,,,,,
,12/17/2023,Bill,,Grimes-Schulist,,Accounts Payable (A/P),,799.12
,12/17/2023,Bill,,Grimes-Schulist,,Supplies,799.12,
Total for 2545,,,,,,,$799.12,$799.12
2572,,,,,,,,
,12/17/2023,Payment,,Huel-Botsford,,Undeposited Funds,700.00,
,12/17/2023,Payment,,Huel-Botsford,,Accounts Receivable (A/R),,700.00
Total for 2572,,,,,,,$700.00,$700.00
2547,,,,,,,,
,12/18/2023,Bill,,Trantow-Buckridge,,Accounts Payable (A/P),,159.00
,12/18/2023,Bill,,Trantow-Buckridge,,Insurance:Workers Compensation,159.00,
Total for 2547,,,,,,,$159.00,$159.00
2561,,,,,,,,
,12/18/2023,Expense,,,,Checking,,328.35
,12/18/2023,Expense,,,,Depreciation,328.35,
Total for 2561,,,,,,,$328.35,$328.35
2582,,,,,,,,
,12/18/2023,Payment,,Hand LLC,,Undeposited Funds,50.00,
,12/18/2023,Payment,,Hand LLC,,Accounts Receivable (A/R),,50.00
Total for 2582,,,,,,,$50.00,$50.00
2615,,,,,,,,
,12/18/2023,Journal Entry,,,,Disposal Fees,"1,114.83",
,12/18/2023,Journal Entry,,,,Checking,,"1,114.83"
Total for 2615,,,,,,,"$1,114.83","$1,114.83"
2514,,,,,,,,
,12/19/2023,Invoice,1771,Thompson-Aufderhar,,Accounts Receivable (A/R),0.00,
,12/19/2023,Invoice,1771,Thompson-Aufderhar,,Landscaping Services:Job Materials:Plants and Soil,0.00,
Total for 2514,,,,,,,$0.00,
2559,,,,,,,,
,12/19/2023,Expense,,,,Savings,,54.42
,12/19/2023,Expense,,,,Job Expenses:Permits,54.42,
Total for 2559,,,,,,,$54.42,$54.42
2573,,,,,,,,
,12/19/2023,Payment,,"Willms, Ratke and Little",,Undeposited Funds,642.67,
,12/19/2023,Payment,,"Willms, Ratke and Little",,Accounts Receivable (A/R),,642.67
Total for 2573,,,,,,,$642.67,$642.67
2577,,,,,,,,
,12/19/2023,Payment,,Shanahan LLC,,Undeposited Funds,521.92,
,12/19/2023,Payment,,Shanahan LLC,,Accounts Receivable (A/R),,521.92
Total for 2577,,,,,,,$521.92,$521.92
2578,,,,,,,,
,12/19/2023,Payment,,Watsica-Gottlieb,,Undeposited Funds,618.10,
,12/19/2023,Payment,,Watsica-Gottlieb,,Accounts Receivable (A/R),,618.10
Total for 2578,,,,,,,$618.10,$618.10
2548,,,,,,,,
,12/20/2023,Bill,,Bashirian and Sons,,Accounts Payable (A/P),,"1,371.62"
,12/20/2023,Bill,,Bashirian and Sons,,Travel Meals,"1,371.62",
Total for 2548,,,,,,,"$1,371.62","$1,371.62"
2555,,,,,,,,
,12/20/2023,Expense,,,,Savings,,663.90
,12/20/2023,Expense,,,,Uncategorized Expense,663.90,
Total for 2555,,,,,,,$663.90,$663.90
2558,,,,,,,,
,12/20/2023,Expense,,,,Savings,,34.07
,12/20/2023,Expense,,,,Maintenance and Repair,34.07,
Total for 2558,,,,,,,$34.07,$34.07
2504,,,,,,,,
,12/21/2023,Invoice,1761,Romaguera and Sons,,Accounts Receivable (A/R),675.00,
,12/21/2023,Invoice,1761,Romaguera and Sons,,Design income,,675.00
Total for 2504,,,,,,,$675.00,$675.00
2505,,,,,,,,
,12/21/2023,Invoice,1762,"Glover, Bode and Raynor",,Accounts Receivable (A/R),50.00,
,12/21/2023,Invoice,1762,"Glover, Bode and Raynor",,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
,12/21/2023,Invoice,1762,"Glover, Bode and Raynor",,Landscaping Services:Labor:Installation,,50.00
Total for 2505,,,,,,,$50.00,$50.00
2527,,,,,,,,
,12/21/2023,Sales Receipt,1784,Sauer Group,,Undeposited Funds,0.00,
,12/21/2023,Sales Receipt,1784,Sauer Group,,Landscaping Services:Job Materials:Plants and Soil,0.00,
Total for 2527,,,,,,,$0.00,
2538,,,,,,,,
,12/21/2023,Bill,,Kessler Inc,,Accounts Payable (A/P),,"1,168.54"
,12/21/2023,Bill,,Kessler Inc,,Promotional,"1,168.54",
Total for 2538,,,,,,,"$1,168.54","$1,168.54"
2501,,,,,,,,
,12/22/2023,Invoice,1758,"Auer, Keeling and Steuber",,Accounts Receivable (A/R),780.00,
,12/22/2023,Invoice,1758,"Auer, Keeling and Steuber",,Design income,,675.00
,12/22/2023,Invoice,1758,"Auer, Keeling and Steuber",,Pest Control Services,,105.00
Total for 2501,,,,,,,$780.00,$780.00
2510,,,,,,,,
,12/22/2023,Invoice,1767,Skiles Inc,,Accounts Receivable (A/R),50.00,
,12/22/2023,Invoice,1767,Skiles Inc,,Landscaping Services,0.00,
,12/22/2023,Invoice,1767,Skiles Inc,,Landscaping Services:Job Materials:Plants and Soil,,50.00
,12/22/2023,Invoice,1767,Skiles Inc,,Landscaping Services:Job Materials:Plants and Soil,0.00,
Total for 2510,,,,,,,$50.00,$50.00
2521,,,,,,,,
,12/22/2023,Sales Receipt,1778,Prohaska LLC,,Undeposited Funds,0.00,
,12/22/2023,Sales Receipt,1778,Prohaska LLC,,Other Income,0.00,
Total for 2521,,,,,,,$0.00,
2581,,,,,,,,
,12/22/2023,Payment,,"Glover, Bode and Raynor",,Undeposited Funds,450.00,
,12/22/2023,Payment,,"Glover, Bode and Raynor",,Accounts Receivable (A/R),,450.00
Total for 2581,,,,,,,$450.00,$450.00
2506,,,,,,,,
,12/23/2023,Invoice,1763,Prohaska LLC,,Accounts Receivable (A/R),0.00,
,12/23/2023,Invoice,1763,Prohaska LLC,,Landscaping Services:Labor:Maintenance and Repair,0.00,
Total for 2506,,,,,,,$0.00,
2579,,,,,,,,
,12/23/2023,Payment,,Welch Inc,,Undeposited Funds,390.55,
,12/23/2023,Payment,,Welch Inc,,Accounts Receivable (A/R),,390.55
Total for 2579,,,,,,,$390.55,$390.55
2539,,,,,,,,
,12/24/2023,Bill,,McClure-Thiel,,Accounts Payable (A/P),,714.74
,12/24/2023,Bill,,McClure-Thiel,,Job Expenses:Cost of Labor:Maintenance and Repairs,714.74,
Total for 2539,,,,,,,$714.74,$714.74
2583,,,,,,,,
,12/24/2023,Payment,,"Lehner, Hane and Borer",,Undeposited Funds,40.00,
,12/24/2023,Payment,,"Lehner, Hane and Borer",,Accounts Receivable (A/R),,40.00
Total for 2583,,,,,,,$40.00,$40.00
2593,,,,,,,,
,12/24/2023,Bill Payment (Check),,Gislason LLC,,Savings,,"1,659.39"
,12/24/2023,Bill Payment (Check),,Gislason LLC,,Accounts Payable (A/P),"1,659.39",
Total for 2593,,,,,,,"$1,659.39","$1,659.39"
2507,,,,,,,,
,12/25/2023,Invoice,1764,Grant and Sons,,Accounts Receivable (A/R),10.00,
,12/25/2023,Invoice,1764,Grant and Sons,,Landscaping Services:Job Materials:Plants and Soil,,10.00
,12/25/2023,Invoice,1764,Grant and Sons,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
,12/25/2023,Invoice,1764,Grant and Sons,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
Total for 2507,,,,,,,$10.00,$10.00
2524,,,,,,,,
,12/25/2023,Sales Receipt,1781,Kub and Sons,,Undeposited Funds,50.00,
,12/25/2023,Sales Receipt,1781,Kub and Sons,,Landscaping Services:Labor:Installation,,50.00
Total for 2524,,,,,,,$50.00,$50.00
2529,,,,,,,,
,12/25/2023,Sales Receipt,1786,Welch Inc,,Undeposited Funds,0.00,
,12/25/2023,Sales Receipt,1786,Welch Inc,,Landscaping Services,0.00,
Total for 2529,,,,,,,$0.00,
2588,,,,,,,,
,12/25/2023,Bill Payment (Check),,Grimes-Schulist,,Checking,,742.20
,12/25/2023,Bill Payment (Check),,Grimes-Schulist,,Accounts Payable (A/P),742.20,
Total for 2588,,,,,,,$742.20,$742.20
2590,,,,,,,,
,12/25/2023,Bill Payment (Check),,Grimes-Schulist,,Savings,,466.01
,12/25/2023,Bill Payment (Check),,Grimes-Schulist,,Accounts Payable (A/P),466.01,
Total for 2590,,,,,,,$466.01,$466.01
2499,,,,,,,,
,12/26/2023,Invoice,1756,"Wehner, O'Conner and Bashirian",,Accounts Receivable (A/R),0.00,
,12/26/2023,Invoice,1756,"Wehner, O'Conner and Bashirian",,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
,12/26/2023,Invoice,1756,"Wehner, O'Conner and Bashirian",,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
Total for 2499,,,,,,,$0.00,
2509,,,,,,,,
,12/26/2023,Invoice,1766,Sauer Group,,Accounts Receivable (A/R),0.00,
,12/26/2023,Invoice,1766,Sauer Group,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
,12/26/2023,Invoice,1766,Sauer Group,,Services,0.00,
,12/26/2023,Invoice,1766,Sauer Group,,Services,0.00,
Total for 2509,,,,,,,$0.00,
2605,,,,,,,,
,12/26/2023,Deposit,,,,Checking,909.28,
,12/26/2023,Deposit,,,,Other Portfolio Income,,909.28
Total for 2605,,,,,,,$909.28,$909.28
2503,,,,,,,,
,12/27/2023,Invoice,1760,"Mohr, Haag and Labadie",,Accounts Receivable (A/R),0.00,
,12/27/2023,Invoice,1760,"Mohr, Haag and Labadie",,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
Total for 2503,,,,,,,$0.00,
2557,,,,,,,,
,12/27/2023,Expense,,,,Checking,,70.20
,12/27/2023,Expense,,,,Commissions & fees,70.20,
Total for 2557,,,,,,,$70.20,$70.20
2560,,,,,,,,
,12/27/2023,Expense,,,,Checking,,116.66
,12/27/2023,Expense,,,,Promotional,116.66,
Total for 2560,,,,,,,$116.66,$116.66
2562,,,,,,,,
,12/27/2023,Expense,,,,Savings,,50.24
,12/27/2023,Expense,,,,Dues & Subscriptions,50.24,
Total for 2562,,,,,,,$50.24,$50.24
2574,,,,,,,,
,12/27/2023,Payment,,"Mohr, Haag and Labadie",,Undeposited Funds,548.18,
,12/27/2023,Payment,,"Mohr, Haag and Labadie",,Accounts Receivable (A/R),,548.18
Total for 2574,,,,,,,$548.18,$548.18
2612,,,,,,,,
,12/27/2023,Journal Entry,,,,Dues & Subscriptions,920.09,
,12/27/2023,Journal Entry,,,,Savings,,920.09
Total for 2612,,,,,,,$920.09,$920.09
2542,,,,,,,,
,12/28/2023,Bill,,Moore Group,,Accounts Payable (A/P),,"1,475.57"
,12/28/2023,Bill,,Moore Group,,Legal & Professional Fees,"1,475.57",
Total for 2542,,,,,,,"$1,475.57","$1,475.57"
2576,,,,,,,,
,12/28/2023,Payment,,Bahringer Inc,,Undeposited Funds,740.93,
,12/28/2023,Payment,,Bahringer Inc,,Accounts Receivable (A/R),,740.93
Total for 2576,,,,,,,$740.93,$740.93
2580,,,,,,,,
,12/28/2023,Payment,,Lind-Willms,,Undeposited Funds,100.00,
,12/28/2023,Payment,,Lind-Willms,,Accounts Receivable (A/R),,100.00
Total for 2580,,,,,,,$100.00,$100.00
2598,,,,,,,,
,12/28/2023,Bill Payment (Check),,Trantow-Buckridge,,Savings,,"2,187.59"
,12/28/2023,Bill Payment (Check),,Trantow-Buckridge,,Accounts Payable (A/P),"2,187.59",
Total for 2598,,,,,,,"$2,187.59","$2,187.59"
2502,,,,,,,,
,12/29/2023,Invoice,1759,Fadel-Oberbrunner,,Accounts Receivable (A/R),20.00,
,12/29/2023,Invoice,1759,Fadel-Oberbrunner,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
,12/29/2023,Invoice,1759,Fadel-Oberbrunner,,Services,0.00,
,12/29/2023,Invoice,1759,Fadel-Oberbrunner,,Landscaping Services:Job Materials:Plants and Soil,,20.00
Total for 2502,,,,,,,$20.00,$20.00
2525,,,,,,,,
,12/29/2023,Sales Receipt,1782,Grant and Sons,,Undeposited Funds,0.00,
,12/29/2023,Sales Receipt,1782,Grant and Sons,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
Total for 2525,,,,,,,$0.00,
2530,,,,,,,,
,12/30/2023,Sales Receipt,1787,Prohaska LLC,,Undeposited Funds,0.00,
,12/30/2023,Sales Receipt,1787,Prohaska LLC,,Landscaping Services:Job Materials:Plants and Soil,0.00,
Total for 2530,,,,,,,$0.00,
2570,,,,,,,,
,12/30/2023,Payment,,Prohaska LLC,,Undeposited Funds,826.12,
,12/30/2023,Payment,,Prohaska LLC,,Accounts Receivable (A/R),,826.12
Total for 2570,,,,,,,$826.12,$826.12
2608,,,,,,,,
,12/30/2023,Deposit,,,,Savings,"1,599.95",
,12/30/2023,Deposit,,,,Landscaping Services,,"1,599.95"
Total for 2608,,,,,,,"$1,599.95","$1,599.95"
2515,,,,,,,,
,12/31/2023,Invoice,1772,Prohaska LLC,,Accounts Receivable (A/R),315.00,
,12/31/2023,Invoice,1772,Prohaska LLC,,Landscaping Services,,315.00
Total for 2515,,,,,,,$315.00,$315.00
2604,,,,,,,,
,12/31/2023,Deposit,,,,Savings,"10,310.32",
,12/31/2023,Deposit,,,,Interest Earned,,"10,310.32"
Total for 2604,,,,,,,"$10,310.32","$10,310.32"
2613,,,,,,,,
,12/31/2023,Journal Entry,,,,Utilities:Telephone,"3,069.41",
,12/31/2023,Journal Entry,,,,Savings,,"3,069.41"
Total for 2613,,,,,,,"$3,069.41","$3,069.41"
2635,,,,,,,,
,01/02/2024,Sales Receipt,1810,Welch Inc,,Undeposited Funds,35.00,
,01/02/2024,Sales Receipt,1810,Welch Inc,,Pest Control Services,,35.00
Total for 2635,,,,,,,$35.00,$35.00
2639,,,,,,,,
,01/02/2024,Sales Receipt,1814,Shanahan LLC,,Undeposited Funds,50.00,
,01/02/2024,Sales Receipt,1814,Shanahan LLC,,Landscaping Services:Labor:Installation,,50.00
Total for 2639,,,,,,,$50.00,$50.00
2676,,,,,,,,
,01/02/2024,Payment,,Fadel LLC,,Undeposited Funds,90.00,
,01/02/2024,Payment,,Fadel LLC,,Accounts Receivable (A/R),,90.00
Total for 2676,,,,,,,$90.00,$90.00
2623,,,,,,,,
,01/03/2024,Invoice,1798,"Lynch, Ziemann and Wehner",,Accounts Receivable (A/R),0.00,
,01/03/2024,Invoice,1798,"Lynch, Ziemann and Wehner",,Other Income,0.00,
Total for 2623,,,,,,,$0.00,
2667,,,,,,,,
,01/04/2024,Expense,,,,Savings,,227.19
,01/04/2024,Expense,,,,Bank Charges,227.19,
Total for 2667,,,,,,,$227.19,$227.19
2681,,,,,,,,
,01/04/2024,Payment,,Sauer Group,,Undeposited Funds,543.21,
,01/04/2024,Payment,,Sauer Group,,Accounts Receivable (A/R),,543.21
Total for 2681,,,,,,,$543.21,$543.21
2700,,,,,,,,
,01/04/2024,Credit Memo,1820,Nienow-Mitchell,,Accounts Receivable (A/R),0.00,
,01/04/2024,Credit Memo,1820,Nienow-Mitchell,,Services,0.00,
Total for 2700,,,,,,,$0.00,
2701,,,,,,,,
,01/04/2024,Vendor Credit,,Gislason LLC,,Accounts Payable (A/P),89.12,
,01/04/2024,Vendor Credit,,Gislason LLC,,Cost of Goods Sold,,89.12
Total for 2701,,,,,,,$89.12,$89.12
2705,,,,,,,,
,01/04/2024,Deposit,,,,Checking,"28,245.80",
,01/04/2024,Deposit,,,,Discounts given,,"28,245.80"
Total for 2705,,,,,,,"$28,245.80","$28,245.80"
2633,,,,,,,,
,01/05/2024,Invoice,1808,Ebert-Krajcik,,Accounts Receivable (A/R),315.00,
,01/05/2024,Invoice,1808,Ebert-Krajcik,,Landscaping Services,,105.00
,01/05/2024,Invoice,1808,Ebert-Krajcik,,Pest Control Services,,105.00
,01/05/2024,Invoice,1808,Ebert-Krajcik,,Pest Control Services,,105.00
Total for 2633,,,,,,,$315.00,$315.00
2699,,,,,,,,
,01/06/2024,Credit Memo,1819,Becker-Adams,,Accounts Receivable (A/R),,35.00
,01/06/2024,Credit Memo,1819,Becker-Adams,,Landscaping Services,35.00,
Total for 2699,,,,,,,$35.00,$35.00
2655,,,,,,,,
,01/07/2024,Bill,,Bailey-Ruecker,,Accounts Payable (A/P),,118.92
,01/07/2024,Bill,,Bailey-Ruecker,,Job Expenses:Permits,118.92,
Total for 2655,,,,,,,$118.92,$118.92
2662,,,,,,,,
,01/08/2024,Expense,,,,Savings,,227.12
,01/08/2024,Expense,,,,Insurance,227.12,
Total for 2662,,,,,,,$227.12,$227.12
2626,,,,,,,,
